,id,name,description
0,'37i9dQZF1DX0s5kDXi1oC5','Hit Rewind',Listen to all the tracks you've been missing. Cover: Katy Perry
1,'37i9dQZF1DX6VdMW310YC7','Chill Tracks',"Softer kinda <a href=""spotify:genre:edm_dance"">dance</a>."
2,'37i9dQZF1DWYBO1MoTDhZI','Good Vibes',Set it off with these epic anthems. Only good vibes here!
3,'37i9dQZF1DWTwnEm1IYyoj','Soft Pop Hits',Listen to easy songs from your favorite artists! Cover: Sia
4,'37i9dQZF1EIXgfF8jf5hOf','Roo Panes Mix',"<a href=spotify:playlist:37i9dQZF1EIW8ZqFXp3e0V>Adam Melchor</a>, <a href=spotify:playlist:37i9dQZF1EIYTB8sW4vuOt>The Paper Kites</a>, <a href=spotify:playlist:37i9dQZF1EIWwobodVaWCh>George Ogilvie</a> and more"
5,'37i9dQZF1EM9zGbLrLcDMw','Your Top Songs 2020',"The songs you loved most this year, all wrapped up."
6,'37i9dQZF1DX4WYpdgoIcn6','Chill Hits',Kick back to the best new and recent chill hits.
7,'37i9dQZF1EphdGq0gfaDHr','On Repeat',Songs you love right now
8,'37i9dQZF1DX3rxVfibe1L0','Mood Booster',Get happy with today's dose of feel-good songs!
9,'37i9dQZF1DWSkMjlBZAZ07','Happy Folk',Brighten your day with a mix of folksy mood boosters.
10,'37i9dQZF1EQncLwOalG3K7','Pop Mix',"<a href=spotify:playlist:37i9dQZF1EIWEZ8ZxSQLXq>Ed Sheeran</a>, <a href=spotify:playlist:37i9dQZF1EIV5ihzgPnqBl>Olivia Rodrigo</a>, <a href=spotify:playlist:37i9dQZF1EIV1hAnuH1ilI>Justin Bieber</a> and more"
11,'37i9dQZF1DWXML2LendtLJ','Light & Easy',The breeziest songs to get you through the day.
12,'37i9dQZF1DXc5e2bJhV6pu','Morning Motivation',Get your day off to a cracking start!
13,'37i9dQZF1E4pQyNNjmhYFJ','Caravan Palace Radio',
14,'37i9dQZF1DXafD1g5rer7q','EDM Samplings',Create the new vibe by mixing in the retro sounds.
15,'5rxhR3IeyXlT99r4bxYI0g','Say It! - Yorushika',
16,'1jnXwlDswhGUvb982pdjOF','Acoustic',
17,'37i9dQZF1DWYshp3qt6eyW','Thoải Mái Gác Chân Lên',"Nằm nhà, thoải mái gác chân lên nghỉ ngơi..."
18,'1drkDQN0QoRHHhpeiEUG6k','Moody',
19,'37i9dQZF1DWUa8ZRTfalHk','Pop Rising',The hits of tomorrow are on Spotify today. Cover: Julia Michaels
20,'0T2ASCb5NZ5iD5Tlry5iAm','IDK what',
